 #        Time[fs] E-potential           E-kinetic     E-Total    E-Total-Avg
          28.06   -0.7633392811E+02    0.9308598338E-02   -0.7632461952E+02   -0.7631610806E+02
          28.54   -0.7633537417E+02    0.1220936255E-01   -0.7632316481E+02   -0.7631622766E+02
          29.03   -0.7633587892E+02    0.1116984298E-01   -0.7632470908E+02   -0.7631636902E+02
          29.51   -0.7633520487E+02    0.1021201163E-01   -0.7632499286E+02   -0.7631651039E+02
          29.99   -0.7633409979E+02    0.1336870291E-01   -0.7632073109E+02   -0.7631657847E+02
          30.48   -0.7633325264E+02    0.1317925487E-01   -0.7632007339E+02   -0.7631663394E+02
          30.96   -0.7633312451E+02    0.1004048494E-01   -0.7632308402E+02   -0.7631673473E+02
          31.45   -0.7633369308E+02    0.8874414901E-02   -0.7632481866E+02   -0.7631685909E+02
          31.93   -0.7633455293E+02    0.9904861403E-02   -0.7632464806E+02   -0.7631697711E+02
          32.41   -0.7633534532E+02    0.1067449739E-01   -0.7632467082E+02   -0.7631709194E+02
          32.90   -0.7633598034E+02    0.1028304502E-01   -0.7632569730E+02   -0.7631721849E+02
          33.38   -0.7633665062E+02    0.1149902482E-01   -0.7632515160E+02   -0.7631733346E+02
          33.86   -0.7633706853E+02    0.1807790367E-01   -0.7631899062E+02   -0.7631735714E+02
          34.35   -0.7633567279E+02    0.2242744944E-01   -0.7631324534E+02   -0.7631729922E+02
          34.83   -0.7633255641E+02    0.1459879942E-01   -0.7631795761E+02   -0.7631730837E+02
          35.32   -0.7633032356E+02    0.8061914163E-02   -0.7632226164E+02   -0.7631737622E+02
          35.80   -0.7632978055E+02    0.6985406360E-02   -0.7632279514E+02   -0.7631744945E+02
          36.28   -0.7633039310E+02    0.8334333134E-02   -0.7632205876E+02   -0.7631751091E+02
          36.77   -0.7633165448E+02    0.1127619800E-01   -0.7632037828E+02   -0.7631754864E+02
          37.25   -0.7633317956E+02    0.1616117417E-01   -0.7631701839E+02   -0.7631754175E+02
          37.73   -0.7633461045E+02    0.2169406971E-01   -0.7631291638E+02   -0.7631748245E+02
          38.22   -0.7633574559E+02    0.2217834002E-01   -0.7631356725E+02   -0.7631743289E+02
          38.70   -0.7633643071E+02    0.1932746515E-01   -0.7631710325E+02   -0.7631742877E+02
          39.19   -0.7633606528E+02    0.1407232292E-01   -0.7632199296E+02   -0.7631748512E+02
          39.67   -0.7633467446E+02    0.6025986546E-02   -0.7632864847E+02   -0.7631762126E+02
          40.15   -0.7633347315E+02    0.2674915020E-02   -0.7633079824E+02   -0.7631778002E+02
          40.64   -0.7633320516E+02    0.2311739104E-02   -0.7633089342E+02   -0.7631793613E+02
